act_detail_type,enabled_refs
QuestActCheckCompleteComponent,95
QuestActCheckGuard,22
QuestActCheckSphere,3
QuestActCheckTimer,69
QuestActConAcceptBuff,25
QuestActConAcceptComponent,457
QuestActConAcceptDoodad,923
QuestActConAcceptItem,737
QuestActConAcceptItemGain,123
QuestActConAcceptLevelRange,10
QuestActConAcceptLevelUp,8
QuestActConAcceptNpc,3981
QuestActConAcceptNpcEmotion,2
QuestActConAcceptNpcGroup,145
QuestActConAcceptNpcKill,968
QuestActConAcceptSphere,750
QuestActConAcceptUi,777
QuestActConAutoComplete,3175
QuestActConReportDoodad,433
QuestActConReportJournal,475
QuestActConReportNpc,4769
QuestActConReportNpcGroup,266
QuestActEtcItemObtain,79
QuestActObjAbilityLevel,14
QuestActObjAggro,107
QuestActObjCinema,24
QuestActObjCompleteQuest,194
QuestActObjCompleteQuestGroup,32
QuestActObjCondition,1
QuestActObjConquestWar,5
QuestActObjConsumeEvolvingMaterial,8
QuestActObjCraft,385
QuestActObjDistance,1
QuestActObjDoodadPhaseCheck,14
QuestActObjEffectFire,150
QuestActObjEnchantScaleCount,5
QuestActObjExpressFire,103
QuestActObjFactionCompetition,6
QuestActObjGainExpPoint,13
QuestActObjGainHonorPoint,37
QuestActObjGainLivingPoint,38
QuestActObjInteraction,712
QuestActObjInviteTeamFaction,4
QuestActObjItemGather,2676
QuestActObjItemGroupGather,56
QuestActObjItemGroupUse,24
QuestActObjItemUse,416
QuestActObjLaborPower,205
QuestActObjLevel,58
QuestActObjMateLevel,18
QuestActObjMonsterContrGroupHunt,21
QuestActObjMonsterContrHunt,8
QuestActObjMonsterGroupHunt,833
QuestActObjMonsterHunt,856
QuestActObjNpcKill,25
QuestActObjPcKill,9
QuestActObjSellBackpackGood,9
QuestActObjSendMail,3
QuestActObjSphere,269
QuestActObjTalk,403
QuestActObjTalkNpcGroup,16
QuestActObjZoneKill,445
QuestActSupplyActability,633
QuestActSupplyAppellation,323
QuestActSupplyArchePassPoint,325
QuestActSupplyContributionPoint,113
QuestActSupplyCopper,4134
QuestActSupplyCrimePoint,6
QuestActSupplyExp,4312
QuestActSupplyExpeditionExp,82
QuestActSupplyFactionChange,27
QuestActSupplyFamilyExp,10
QuestActSupplyHonorPoint,359
QuestActSupplyItem,5852
QuestActSupplyJuryPoint,4
QuestActSupplyLeadershipPoint,127
QuestActSupplyLivingPoint,237
QuestActSupplyLocalLp,2
QuestActSupplyLp,18
QuestActSupplyRankedItem,23
QuestActSupplyRemoveItem,52
QuestActSupplyResidentCharge,1
QuestActSupplyResidentPoint,41
QuestActSupplyResultRankedItem,13
QuestActSupplySelectiveItem,546
QuestActSupplySkill,2
