skill_id,name,root_kind,closure_skill_ids,effect_types,special_types,condition_types,controller_kinds,blockers,buff_trigger_events,missing_rows,nonzero_special_value5_7,nonzero_skill_use_value4
10694,,base,[10694],"{""AggroEffect"": 1, ""BuffEffect"": 2}",{},{},{},[],"{""Started"": 3}",[],[],[]
10708,,base,[10708],"{""AggroEffect"": 3, ""BuffEffect"": 6, ""SpecialEffect"": 6}","{""ResetCooldown"": 6}",{},{},[],"{""Started"": 12}",[],"[{""id"": 34172, ""type"": ""ResetCooldown"", ""type_id"": 43, ""value5"": 0, ""value6"": 0, ""value7"": 100}, {""id"": 34173, ""type"": ""ResetCooldown"", ""type_id"": 43, ""value5"": 0, ""value6"": 0, ""value7"": 100}, {""id"": 34175, ""type"": ""ResetCooldown"", ""type_id"": 43, ""value5"": 0, ""value6"": 0, ""value7"": 100}, {""id"": 34176, ""type"": ""ResetCooldown"", ""type_id"": 43, ""value5"": 0, ""value6"": 0, ""value7"": 100}, {""id"": 34177, ""type"": ""ResetCooldown"", ""type_id"": 43, ""value5"": 0, ""value6"": 0, ""value7"": 100}, {""id"": 34178, ""type"": ""ResetCooldown"", ""type_id"": 43, ""value5"": 0, ""value6"": 0, ""value7"": 100}]",[]
11368,,base,[11368],"{""BuffEffect"": 5}",{},{},"{""2"": 1}",[],{},[],[],[]
11933,폭탄 사격,base,[11933],"{""AggroEffect"": 1, ""BuffEffect"": 9, ""DamageEffect"": 18, ""HighAbilityResourceEffect"": 2, ""SpecialEffect"": 70}","{""Anim"": 6, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatDice"": 18, ""CombatText"": 20, ""Cooldown"": 1, ""FxGroup"": 7, ""FxGroupAnim"": 2, ""GlobalCooldown"": 2, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""RemoveDoodad"": 5, ""SetVariable"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 23, ""CombatDiceResult"": 1, ""Dead"": 2, ""Range"": 2, ""Variable"": 1, ""Visible"": 2, ""WeaponEquipStatus"": 2}",{},[],"{""Landing"": 1, ""Started"": 4}",[],[],[]
12133,,base,[12133],"{""AggroEffect"": 1, ""BuffEffect"": 1}",{},{},{},[],"{""Started"": 1}",[],[],[]
12759,방출 사격,base,[12759],"{""AggroEffect"": 1, ""BuffEffect"": 5, ""DamageEffect"": 6, ""SkillController"": 2, ""SpecialEffect"": 19}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatDice"": 2, ""CombatText"": 2, ""Cooldown"": 1, ""Detach"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 13, ""CombatDiceResult"": 1, ""WeaponEquipStatus"": 1}","{""2"": 2}",[],"{""Started"": 1}",[],[],[]
13281,다발 사격,base,[13281],"{""BuffEffect"": 1, ""DamageEffect"": 3, ""DispelEffect"": 2, ""SpecialEffect"": 17}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""ChargeCooldown"": 1, ""Cooldown"": 1, ""Detach"": 1, ""FxGroup"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 4, ""CombatDiceResult"": 1, ""WeaponEquipStatus"": 2}",{},[],{},[],[],[]
14835,,base,"[14835, 14836, 14837]","{""BuffEffect"": 4, ""DamageEffect"": 9, ""SpecialEffect"": 20}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 3, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 3, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
15073,,base,[15073],"{""AggroEffect"": 1, ""BuffEffect"": 5, ""DispelEffect"": 1}",{},{},{},[],"{""RemoveOnMove"": 1, ""Started"": 3, ""Timeout"": 1}",[],[],[]
15096,빛의 사격,base,[15096],"{""BuffEffect"": 8, ""DamageEffect"": 9, ""SpecialEffect"": 22}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 6, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 7, ""CombatDiceResult"": 1, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
