skill_id,name,visible,source,static_status,executable_state,manual_acceptance,closure_skill_ids,actual_effect_types,special_effect_types,blockers,crosswalk_classifications,crosswalk_missing_rows
10151,얼어붙은 대지,True,aa8_live_request_plus_aa10_root_candidate_plus_aa8_closure,enabled_live_candidate_root,blocked,pending,[10151],"{""BuffEffect"": 4, ""DamageEffect"": 2, ""SpecialEffect"": 10}","{""Anim"": 2, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""StopManaRegen"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 30, ""stable_id_changed_properties"": 12}",1
10153,보호막,True,aa8_live_request_plus_aa10_root_candidate_plus_aa8_closure,enabled_live_candidate_root,blocked,pending,[10153],"{""CombatResourceEffect"": 1, ""ExtendChargeEffect"": 1}",{},"[""core:CombatResourceEffect:no_op"", ""core:ExtendChargeEffect:candidate_formula""]","{""exact_id_exact_relation"": 3, ""stable_id_changed_properties"": 3}",1
10664,별똥별,True,aa8_native_catalog,enabled,blocked,pending,[10664],"{""BuffEffect"": 5, ""DamageEffect"": 1, ""DispelEffect"": 2, ""SpecialEffect"": 3}","{""KnockBack"": 2, ""SpawnDoodad"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""special:KnockBack:no_op"", ""special:SpawnDoodad:partial""]","{""exact_id_exact_relation"": 59, ""stable_id_changed_properties"": 19}",0
10667,얼음 화살,True,aa8_native_catalog,enabled,blocked,partial_live_started_fired_buff_247,[10667],"{""BuffEffect"": 2, ""DamageEffect"": 2, ""SpecialEffect"": 2}","{""DisturbCasting"": 1, ""SkillUse"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""special:DisturbCasting:partial"", ""special:SkillUse:partial""]","{""exact_id_exact_relation"": 30, ""stable_id_changed_properties"": 12}",0
10670,분노의 벼락,True,aa8_native_catalog,enabled,blocked,pending,[10670],"{""BuffEffect"": 3, ""DamageEffect"": 7, ""SpecialEffect"": 16}","{""Anim"": 5, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 3, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 1, ""StopManaRegen"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 113, ""stable_id_changed_properties"": 19}",0
10752,불꽃 송이,True,aa8_native_catalog,enabled,blocked,partial_live_chain_10752_24894_24895_buffs_1403_2287,"[10752, 24894, 24895]","{""BuffEffect"": 8, ""CombatResourceEffect"": 2, ""DamageEffect"": 18, ""SpecialEffect"": 63}","{""Anim"": 15, ""AutoAttack"": 3, ""CancelOngoingBuff"": 3, ""CancelStealth"": 3, ""CombatText"": 1, ""Combo"": 2, ""Cooldown"": 7, ""FxGroupAnim"": 9, ""GlobalCooldown"": 7, ""ManaCost"": 3, ""ProjectileAnim"": 9, ""StopManaRegen"": 1}","[""core:CombatResourceEffect:no_op"", ""core:DamageEffect:partial_legacy_formula"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:Combo:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 343, ""stable_id_changed_properties"": 78}",0
11314,<ref:46815>,True,aa8_native_catalog,enabled,blocked,pending,[11314],"{""BuffEffect"": 1, ""CombatResourceEffect"": 1, ""SpecialEffect"": 1}","{""SpawnDoodad"": 1}","[""core:CombatResourceEffect:no_op"", ""special:SpawnDoodad:partial""]","{""exact_id_exact_relation"": 13, ""stable_id_changed_properties"": 4}",0
11939,불의 비,True,aa8_native_catalog,quarantined,blocked,pending,[11939],"{""BuffEffect"": 2, ""DamageEffect"": 2, ""ResetAoeDiminishingEffect"": 2, ""SpecialEffect"": 19}","{""Anim"": 4, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 4, ""StopManaRegen"": 3}","[""core:DamageEffect:partial_legacy_formula"", ""core:ResetAoeDiminishingEffect:no_op"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 100, ""stable_id_changed_properties"": 12}",0
11967,연쇄 번개,True,aa8_native_catalog,enabled,blocked,pending,[11967],"{""BuffEffect"": 4, ""DamageEffect"": 13, ""SpecialEffect"": 24}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 11, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 4, ""ProjectileAnim"": 1, ""StopManaRegen"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 149, ""stable_id_changed_properties"": 25}",0
12789,마법_(로그인스테이지)_불꽃송이,False,aa8_native_catalog,enabled,blocked,pending,[12789],"{""DamageEffect"": 1}",{},"[""core:DamageEffect:partial_legacy_formula""]","{""exact_id_exact_relation"": 3, ""stable_id_changed_properties"": 4}",0
12790,마법_(로그인스테이지)_얼음화살,False,aa8_native_catalog,enabled,blocked,pending,[12790],"{""DamageEffect"": 1}",{},"[""core:DamageEffect:partial_legacy_formula""]","{""exact_id_exact_relation"": 3, ""stable_id_changed_properties"": 4}",0
12791,마법_(로그인스테이지)_분노의벼락,False,aa8_native_catalog,enabled,blocked,pending,[12791],"{""DamageEffect"": 1}",{},"[""core:DamageEffect:partial_legacy_formula""]","{""exact_id_exact_relation"": 3, ""stable_id_changed_properties"": 4}",0
12796,마법진,True,aa8_native_catalog,enabled,blocked,partial_live_buff_19037_resource_466_inert,[12796],"{""AggroEffect"": 5, ""BuffEffect"": 6, ""CombatResourceEffect"": 1, ""SpecialEffect"": 16}","{""Anim"": 2, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""SpawnDoodad"": 5, ""StopManaRegen"": 1}","[""core:AggroEffect:partial_legacy_formula"", ""core:CombatResourceEffect:no_op"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula"", ""special:SpawnDoodad:partial""]","{""exact_id_exact_relation"": 101, ""renumbered_row_stable_relation"": 1, ""stable_id_changed_properties"": 26}",0
14774,불의 장벽,True,aa8_native_catalog,enabled,blocked,pending,[14774],"{""BuffEffect"": 1, ""DamageEffect"": 1, ""InteractionEffect"": 1, ""SpecialEffect"": 10}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 1, ""StopManaRegen"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""core:InteractionEffect:partial"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 51, ""stable_id_changed_properties"": 14}",0
23593,연속 벼락,True,aa8_native_catalog,enabled,blocked,pending,"[23593, 23646, 23647, 23648, 23649]","{""BuffEffect"": 6, ""DamageEffect"": 7, ""SpecialEffect"": 4}","{""Combo"": 4}","[""core:DamageEffect:partial_legacy_formula"", ""special:Combo:no_op""]","{""exact_id_exact_relation"": 48, ""stable_id_changed_properties"": 29}",0
23646,<ref:91015>,False,aa8_native_catalog,enabled,blocked,pending,"[23646, 23647, 23648, 23649]","{""BuffEffect"": 5, ""DamageEffect"": 6, ""SpecialEffect"": 3}","{""Combo"": 3}","[""core:DamageEffect:partial_legacy_formula"", ""special:Combo:no_op""]","{""exact_id_exact_relation"": 41, ""stable_id_changed_properties"": 24}",0
23647,<ref:91015>,False,aa8_native_catalog,enabled,blocked,pending,"[23647, 23648, 23649]","{""BuffEffect"": 4, ""DamageEffect"": 5, ""SpecialEffect"": 2}","{""Combo"": 2}","[""core:DamageEffect:partial_legacy_formula"", ""special:Combo:no_op""]","{""exact_id_exact_relation"": 35, ""stable_id_changed_properties"": 19}",0
