skill_id,name,root_kind,closure_skill_ids,effect_types,special_types,condition_types,controller_kinds,blockers,buff_trigger_events,missing_rows,nonzero_special_value5_7,nonzero_skill_use_value4
10151,얼어붙은 대지,base,[10151],"{""BuffEffect"": 4, ""DamageEffect"": 2, ""SpecialEffect"": 10}","{""Anim"": 2, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 2, ""CombatDiceResult"": 1}",{},[],{},[],[],[]
10153,보호막,base,"[10153, 37837]","{""BuffEffect"": 1, ""CombatResourceEffect"": 2, ""ExtendChargeEffect"": 1, ""SpecialEffect"": 1}","{""SkillUse"": 1}",{},{},[],"{""Absorption"": 1}",[],[],[]
10664,별똥별,base,[10664],"{""BuffEffect"": 5, ""DamageEffect"": 1, ""DispelEffect"": 2, ""SpecialEffect"": 3}","{""KnockBack"": 2, ""SpawnDoodad"": 1}",{},{},[],"{""Started"": 4, ""Timeout"": 1}",[],[],[]
10667,얼음 화살,base,"[10667, 15317]","{""BuffEffect"": 2, ""DamageEffect"": 3, ""SpecialEffect"": 2}","{""DisturbCasting"": 1, ""SkillUse"": 1}",{},{},[],"{""Started"": 1, ""Timeout"": 2}",[],[],[]
10670,분노의 벼락,base,[10670],"{""BuffEffect"": 3, ""DamageEffect"": 5, ""SpecialEffect"": 16}","{""Anim"": 5, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 3, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 1, ""StopManaRegen"": 1}","{""ABLevel"": 3, ""BuffTag"": 3, ""CombatDiceResult"": 1, ""Dead"": 1, ""Range"": 1, ""Visible"": 1}",{},[],{},[],[],[]
10752,불꽃 송이,base,"[10752, 24894, 24895]","{""BuffEffect"": 6, ""CombatResourceEffect"": 2, ""DamageEffect"": 13, ""SpecialEffect"": 39}","{""Anim"": 5, ""AutoAttack"": 3, ""CancelOngoingBuff"": 3, ""CancelStealth"": 3, ""CombatText"": 1, ""Combo"": 2, ""Cooldown"": 7, ""FxGroupAnim"": 3, ""GlobalCooldown"": 5, ""ManaCost"": 3, ""ProjectileAnim"": 3, ""StopManaRegen"": 1}","{""BuffTag"": 15, ""CombatDiceResult"": 4, ""Dead"": 3, ""Range"": 1, ""Visible"": 3}",{},[],"{""Started"": 1}",[],[],[]
11314,,base,[11314],"{""BuffEffect"": 1, ""CombatResourceEffect"": 1, ""SpecialEffect"": 1}","{""SpawnDoodad"": 1}",{},{},[],{},[],[],[]
11939,불의 비,base,[11939],"{""BuffEffect"": 4, ""DamageEffect"": 2, ""HighAbilityResourceEffect"": 2, ""ResetAoeDiminishingEffect"": 2, ""SpecialEffect"": 20}","{""Anim"": 4, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 2, ""ManaCost"": 1, ""Projectile"": 4, ""StopManaRegen"": 3}","{""BuffTag"": 3, ""CombatDiceResult"": 1}",{},[],"{""Started"": 3}",[],[],[]
11967,연쇄 번개,base,[11967],"{""BuffEffect"": 4, ""DamageEffect"": 8, ""SpecialEffect"": 19}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 6, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 4, ""ProjectileAnim"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 5, ""CombatDiceResult"": 1}",{},[],{},[],[],[]
12796,마법진,base,[12796],"{""AggroEffect"": 5, ""BuffEffect"": 6, ""CombatResourceEffect"": 1, ""SpecialEffect"": 16}","{""Anim"": 2, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""SpawnDoodad"": 5, ""StopManaRegen"": 1}","{""ABLevel"": 5, ""BuffTag"": 1}",{},[],"{""Started"": 5}",[],[],[]
14774,불의 장벽,base,[14774],"{""BuffEffect"": 1, ""DamageEffect"": 1, ""InteractionEffect"": 1, ""SpecialEffect"": 9}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 2}",{},[],{},[],[],[]
23593,연속 벼락,base,"[23593, 23646, 23647, 23648, 23649]","{""BuffEffect"": 6, ""DamageEffect"": 7, ""SpecialEffect"": 4}","{""Combo"": 4}",{},{},[],{},[],[],[]
36474,불꽃 송이: 불꽃,heir,[36474],"{""BuffEffect"": 2, ""DamageEffect"": 3}",{},{},{},[],{},[],[],[]
36475,불꽃 송이: 번개,heir,[36475],"{""BuffEffect"": 3, ""DamageEffect"": 6, ""SpecialEffect"": 21}","{""Anim"": 6, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 2, ""FxGroupAnim"": 3, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 3, ""StopManaRegen"": 1}","{""BuffTag"": 15, ""CombatDiceResult"": 1, ""Dead"": 4}",{},[],{},[],[],[]
36476,연쇄 번개: 불꽃,heir,[36476],"{""AggroEffect"": 1, ""BuffEffect"": 3, ""DamageEffect"": 6, ""SpecialEffect"": 20}","{""Anim"": 2, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 4, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 4, ""ProjectileAnim"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 9}",{},[],"{""Started"": 1}",[],[],[]
36477,연쇄 번개: 파도,heir,[36477],"{""BuffEffect"": 1, ""DamageEffect"": 3, ""ResetAoeDiminishingEffect"": 1, ""SpecialEffect"": 14}","{""Anim"": 2, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""ProjectileAnim"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 2, ""CombatDiceResult"": 1}",{},[],{},[],[],[]
36478,별똥별: 파도,heir,"[15317, 36478]","{""BuffEffect"": 1, ""DamageEffect"": 4, ""ResetAoeDiminishingEffect"": 2, ""SpecialEffect"": 19}","{""Anim"": 4, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""DisturbCasting"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""SkillUse"": 1, ""SpawnDoodad"": 1, ""StopManaRegen"": 2}","{""BuffTag"": 3, ""CombatDiceResult"": 1}",{},[],"{""Started"": 1, ""Timeout"": 2}",[],[],[]
36479,별똥별: 번개,heir,[36479],"{""BuffEffect"": 3, ""DamageEffect"": 4, ""SpecialEffect"": 14}","{""Anim"": 2, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 1, ""SpawnDoodad"": 2, ""StopManaRegen"": 2}","{""BuffTag"": 1, ""CombatDiceResult"": 1}",{},[],{},[],[],[]
39669,연속 벼락: 번개,heir,"[39669, 39670, 39671, 39672, 39673]","{""BuffEffect"": 6, ""DamageEffect"": 7, ""SpecialEffect"": 4}","{""Combo"": 4}",{},{},[],{},[],[],[]
