skill_id,english_name,source,runtime_status,closure_tables,closure_rows,static_payload_state,acceptance_state,closure_table_counts
10151,Freezing Earth,aa10_root_candidate_plus_aa8_native_descendants,enabled,15,71,aa10_root_candidate_with_aa8_native_descendants,static_runtime_closed_manual_live_pending,"{""buff_effects"": 4, ""buffs"": 2, ""damage_effects"": 2, ""effects"": 3, ""plot_aoe_conditions"": 1, ""plot_conditions"": 3, ""plot_effects"": 13, ""plot_event_conditions"": 2, ""plot_events"": 8, ""plot_next_events"": 8, ""plots"": 1, ""skill_effects"": 3, ""skills"": 1, ""special_effects"": 10, ""tagged_buffs"": 10}"
10153,Insulating Lens,aa10_root_candidate_plus_aa8_native_descendants,enabled,7,12,aa10_root_candidate_with_aa8_native_descendants,static_runtime_closed_manual_live_pending,"{""buffs"": 1, ""combat_resource_effects"": 1, ""effects"": 2, ""extend_charge_effects"": 1, ""skill_effects"": 2, ""skills"": 1, ""tagged_buffs"": 4}"
10664,Meteor Strike,aa8_native_catalog,enabled,12,78,exact_aa8_native,static_runtime_closed_manual_live_pending,"{""anims"": 3, ""buff_effects"": 5, ""buff_triggers"": 5, ""buffs"": 5, ""damage_effects"": 1, ""dispel_effects"": 2, ""effects"": 11, ""projectiles"": 1, ""skill_effects"": 6, ""skills"": 1, ""special_effects"": 3, ""tagged_buffs"": 35}"
10667,Freezing Arrow,aa8_native_catalog,enabled,11,42,exact_aa8_native,static_runtime_closed_manual_live_pending,"{""anims"": 2, ""buff_effects"": 2, ""buff_triggers"": 3, ""buffs"": 2, ""damage_effects"": 2, ""effects"": 6, ""projectiles"": 1, ""skill_effects"": 3, ""skills"": 1, ""special_effects"": 2, ""tagged_buffs"": 18}"
10670,Arc Lightning,aa8_native_catalog,enabled,17,132,exact_aa8_native,static_runtime_closed_manual_live_pending,"{""anims"": 4, ""buff_effects"": 3, ""buff_tick_effects"": 3, ""buffs"": 2, ""damage_effects"": 7, ""effects"": 5, ""plot_conditions"": 14, ""plot_effects"": 21, ""plot_event_conditions"": 14, ""plot_events"": 12, ""plot_next_events"": 14, ""plots"": 1, ""projectiles"": 1, ""skill_effects"": 2, ""skills"": 1, ""special_effects"": 16, ""tagged_buffs"": 12}"
10752,Flamebolt,aa8_native_catalog,enabled,19,421,exact_aa8_native,static_runtime_closed_manual_live_pending,"{""anims"": 8, ""buff_effects"": 8, ""buff_tick_effects"": 1, ""buff_triggers"": 2, ""buffs"": 5, ""combat_resource_effects"": 2, ""damage_effects"": 18, ""effects"": 14, ""plot_conditions"": 53, ""plot_effects"": 77, ""plot_event_conditions"": 53, ""plot_events"": 47, ""plot_next_events"": 33, ""plots"": 3, ""projectiles"": 1, ""skill_effects"": 11, ""skills"": 3, ""special_effects"": 63, ""tagged_buffs"": 19}"
11314,Frigid Tracks,aa8_native_catalog,enabled,10,17,exact_aa8_native,static_runtime_closed_manual_live_pending,"{""anims"": 2, ""buff_effects"": 1, ""buff_tick_effects"": 1, ""buffs"": 1, ""combat_resource_effects"": 1, ""effects"": 3, ""skill_effects"": 2, ""skills"": 1, ""special_effects"": 1, ""tagged_buffs"": 4}"
11939,Searing Rain,aa8_native_catalog,enabled,17,112,exact_aa8_native,static_runtime_closed_manual_live_pending,"{""anims"": 3, ""aoe_shapes"": 4, ""buff_effects"": 2, ""buffs"": 2, ""damage_effects"": 2, ""plot_aoe_conditions"": 2, ""plot_conditions"": 3, ""plot_effects"": 25, ""plot_event_conditions"": 1, ""plot_events"": 16, ""plot_next_events"": 18, ""plots"": 1, ""projectiles"": 2, ""reset_aoe_diminishing_effects"": 2, ""skills"": 1, ""special_effects"": 19, ""tagged_buffs"": 9}"
11967,Chain Lightning,aa8_native_catalog,enabled,19,174,exact_aa8_native,static_runtime_closed_manual_live_pending,"{""anims"": 4, ""aoe_shapes"": 4, ""buff_effects"": 4, ""buff_tick_effects"": 3, ""buffs"": 4, ""damage_effects"": 13, ""effects"": 4, ""plot_aoe_conditions"": 4, ""plot_conditions"": 6, ""plot_effects"": 37, ""plot_event_conditions"": 2, ""plot_events"": 19, ""plot_next_events"": 17, ""plots"": 1, ""projectiles"": 1, ""skill_effects"": 1, ""skills"": 1, ""special_effects"": 24, ""tagged_buffs"": 25}"
12796,Magic Circle,aa8_native_catalog,enabled,18,128,exact_aa8_native,static_runtime_closed_manual_live_pending,"{""aggro_effects"": 5, ""anims"": 2, ""aoe_shapes"": 5, ""buff_effects"": 6, ""buff_triggers"": 5, ""buffs"": 6, ""combat_resource_effects"": 1, ""effects"": 10, ""plot_conditions"": 6, ""plot_effects"": 18, ""plot_event_conditions"": 6, ""plot_events"": 12, ""plot_next_events"": 11, ""plots"": 1, ""skill_effects"": 5, ""skills"": 1, ""special_effects"": 16, ""tagged_buffs"": 12}"
