skill_id,english_name,source,runtime_status,closure_tables,closure_rows,localization_state,static_payload_state,acceptance_state
10151,Freezing Earth,aa8_tombstone_identity_plus_bounded_parent_plus_aa8_descendants,enabled,15,71,exact_aa8_compact_r558734,aa10_root_candidate_with_aa8_native_descendants,static_runtime_closed_manual_live_pending
10153,Insulating Lens,aa8_tombstone_identity_plus_bounded_parent_plus_aa8_descendants,enabled,7,12,exact_aa8_compact_r558734,aa10_root_candidate_with_aa8_native_descendants,static_runtime_closed_manual_live_pending
10664,Meteor Strike,aa8_native_catalog,enabled,12,78,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
10667,Freezing Arrow,aa8_native_catalog,enabled,11,42,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
10670,Arc Lightning,aa8_native_catalog,enabled,17,132,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
10752,Flamebolt,aa8_native_catalog,enabled,19,421,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
11314,Frigid Tracks,aa8_native_catalog,enabled,10,17,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
11939,Searing Rain,aa8_native_catalog,enabled,17,112,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
11967,Chain Lightning,aa8_native_catalog,enabled,19,174,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
12796,Magic Circle,aa8_native_catalog,enabled,18,128,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
14774,Flame Barrier,aa8_native_catalog,enabled,19,65,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
23593,Gods' Whip,aa8_native_catalog,enabled,11,77,exact_aa8_compact_r558734,exact_aa8_native,static_runtime_closed_manual_live_pending
