table,row_id,classification
doodad_func_groups,38626,aa8_native_exact
doodad_func_groups,38627,aa8_native_exact
doodad_func_groups,38628,aa8_native_exact
doodad_func_groups,38629,aa8_native_exact
doodad_func_groups,38630,aa8_native_exact
doodad_func_groups,43090,aa8_native_with_bounded_string_reference_resolution
doodad_func_groups,43245,aa8_native_with_bounded_string_reference_resolution
doodad_phase_funcs,49136,aa8_native_exact
doodad_phase_funcs,49137,aa8_native_exact
doodad_phase_funcs,49339,aa8_native_exact
doodad_phase_funcs,49340,aa8_native_exact
doodad_phase_funcs,49913,aa8_native_exact
doodad_phase_funcs,55165,aa8_native_exact
doodad_phase_funcs,55330,aa8_native_exact
doodad_func_clouts,4116,aa8_native_exact
doodad_func_clouts,4121,aa8_native_exact
doodad_func_timers,16372,aa8_native_exact
doodad_func_timers,16373,aa8_native_exact
doodad_func_finals,5304,aa8_native_exact
doodad_func_finals,5305,aa8_native_exact
doodad_func_finals,5320,aa8_native_exact
